0.00000000, Started Game
22.49582000, Stopped Game
0.00000000, Started Game
47.68654000, Stopped Game
0.00000000, Started Game
10.59445000, Stopped Game
0.00000000, Started Game
63.75650000, Stopped Game
0.00000000, Started Game
0.02000000, D_Obj, isSubmenuVisible, Cube
27.13433000, D_Obj, isSubmenuVisible, waitingRoomTutorial
27.33256000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
27.36619000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
28.33743000, D_Obj, isSubmenuVisible, topLevelMenu
29.04652000, D_Obj, isSubmenuInvisible, topLevelMenu
29.04652000, D_Obj, isSubmenuVisible, submenu_Animals
30.19422000, D_Obj, isSubmenuInvisible, submenu_Animals
30.87582000, D_Obj, isSubmenuVisible, waitingRoomTutorial
30.93984000, D_Obj, isSubmenuVisible, waitingRoomTutorial
34.58393000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
34.69511000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
35.71234000, D_Obj, isSubmenuVisible, waitingRoomTutorial
35.84414000, D_Obj, isSubmenuVisible, waitingRoomTutorial
36.37064000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
36.65081000, D_Obj, isSubmenuVisible, waitingRoomTutorial
37.01816000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
37.01816000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
39.45404000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
39.64363000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
39.91075000, D_Obj, isSubmenuVisible, waitingRoomTutorial
39.91075000, D_Obj, isSubmenuVisible, waitingRoomTutorial
44.08908000, D_Obj, isSubmenuVisible, waitingRoomTutorial
44.24333000, D_Obj, isSubmenuVisible, waitingRoomTutorial
44.80373000, D_Obj, isSubmenuVisible, topLevelMenu
44.88609000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
44.94223000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
45.85072000, D_Obj, isSubmenuInvisible, topLevelMenu
46.89291000, D_Obj, isSubmenuVisible, topLevelMenu
46.99102000, D_Obj, isSubmenuVisible, waitingRoomTutorial
47.01386000, D_Obj, isSubmenuVisible, waitingRoomTutorial
47.12329000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
47.12329000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
48.14908000, D_Obj, isSubmenuVisible, waitingRoomTutorial
48.14908000, D_Obj, isSubmenuVisible, waitingRoomTutorial
48.77497000, D_Obj, isSubmenuInvisible, topLevelMenu
48.77497000, D_Obj, isSubmenuVisible, submenu_Nature
49.86958000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
49.86958000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
50.87521000, D_Obj, isSubmenuInvisible, submenu_Nature
53.43835000, D_Obj, isSubmenuVisible, waitingRoomTutorial
53.43835000, D_Obj, isSubmenuVisible, waitingRoomTutorial
53.82685000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
54.18653000, D_Obj, isSubmenuVisible, waitingRoomTutorial
54.58952000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
54.58952000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
56.19625000, D_Obj, isSubmenuVisible, waitingRoomTutorial
56.19625000, D_Obj, isSubmenuVisible, waitingRoomTutorial
56.99113000, D_Obj, isSubmenuVisible, topLevelMenu
60.37778000, D_Obj, isSubmenuInvisible, topLevelMenu
60.37778000, D_Obj, isSubmenuVisible, submenu_Symbol
61.12374000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
61.19043000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
62.08514000, D_Obj, isSubmenuInvisible, submenu_Symbol
64.67609000, D_Obj, isSubmenuVisible, submenu_Symbol
65.08603000, D_Obj, isSubmenuVisible, waitingRoomTutorial
65.11957000, D_Obj, isSubmenuVisible, waitingRoomTutorial
65.80404000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
65.80404000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
65.80404000, D_Obj, isSubmenuVisible, waitingRoomTutorial
65.80404000, D_Obj, isSubmenuVisible, waitingRoomTutorial
65.94729000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
65.94729000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
66.13686000, D_Obj, isSubmenuInvisible, submenu_Symbol
70.71805000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
70.75185000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
77.10027000, Stopped Game
0.00000000, Started Game
0.02000000, D_Obj, isSubmenuVisible, Cube
1.90941600, D_Obj, isSubmenuVisible, DoorWay
2.63561800, D_Obj, isSubmenuInvisible, Cube
3.25659600, D_Obj, isSubmenuVisible, Cube.001
3.47134500, D_Obj, isSubmenuInvisible, Cube.001
3.72683400, D_Obj, isSubmenuVisible, Cube
7.98523000, D_Obj, isSubmenuVisible, Cube.001
8.03935100, D_Obj, isSubmenuInvisible, Cube
8.10642900, D_Obj, isSubmenuInvisible, DoorWay
8.24039000, D_Obj, isSubmenuVisible, Cube.002
9.41839800, D_Obj, isSubmenuInvisible, Cube.001
10.37644000, D_Obj, isSubmenuVisible, Cube.001
11.18056000, D_Obj, isSubmenuVisible, DoorWay
11.59178000, D_Obj, isSubmenuInvisible, DoorWay
11.91682000, D_Obj, isSubmenuInvisible, Cube.001
13.15737000, D_Obj, isSubmenuVisible, Cube.001
13.20998000, D_Obj, isSubmenuVisible, DoorWay
13.32521000, D_Obj, isSubmenuVisible, Cube
13.70262000, D_Obj, isSubmenuVisible, topLevelMenu
14.31166000, D_Obj, isSubmenuInvisible, Cube
14.37789000, D_Obj, isSubmenuInvisible, DoorWay
14.51185000, D_Obj, isSubmenuInvisible, Cube.001
14.75116000, D_Obj, isSubmenuInvisible, topLevelMenu
15.80501000, D_Obj, isSubmenuVisible, topLevelMenu
15.87580000, D_Obj, isSubmenuVisible, Cube.001
15.92104000, D_Obj, isSubmenuVisible, DoorWay
15.94486000, D_Obj, isSubmenuVisible, Cube
16.07709000, D_Obj, isSubmenuInvisible, Cube.002
17.15078000, D_Obj, isSubmenuInvisible, topLevelMenu
17.15078000, D_Obj, isSubmenuVisible, submenu_Manmade
18.69654000, D_Obj, isSubmenuVisible, Cube.002
18.94125000, D_Obj, isSubmenuInvisible, Cube
18.97483000, D_Obj, isSubmenuInvisible, DoorWay
19.04045000, D_Obj, isSubmenuInvisible, Cube.001
19.08491000, D_Obj, isSubmenuInvisible, submenu_Manmade
19.85889000, D_Obj, isSubmenuVisible, Cube.001
19.87391000, D_Obj, isSubmenuVisible, submenu_Manmade
19.92464000, D_Obj, isSubmenuVisible, DoorWay
19.94734000, D_Obj, isSubmenuVisible, Cube
20.04811000, D_Obj, isSubmenuInvisible, Cube.002
20.30419000, D_Obj, isSubmenuInvisible, Cube.001
20.36030000, D_Obj, isSubmenuVisible, Cube.001
20.60562000, D_Obj, isSubmenuInvisible, Cube.001
20.93118000, D_Obj, isSubmenuInvisible, submenu_Manmade
21.14383000, D_Obj, isSubmenuVisible, Cube.001
21.53369000, D_Obj, isSubmenuVisible, Cube.002
22.07098000, D_Obj, isSubmenuVisible, topLevelMenu
22.22472000, D_Obj, isSubmenuInvisible, Cube.002
23.78479000, D_Obj, isSubmenuInvisible, topLevelMenu
23.78479000, D_Obj, isSubmenuVisible, submenu_Nature
25.16993000, D_Obj, isSubmenuVisible, Cube.002
25.23645000, D_Obj, isSubmenuInvisible, Cube
25.26386000, D_Obj, isSubmenuInvisible, DoorWay
25.34038000, D_Obj, isSubmenuInvisible, Cube.001
25.44082000, D_Obj, isSubmenuInvisible, submenu_Nature
26.23737000, D_Obj, isSubmenuVisible, submenu_Nature
26.29118000, D_Obj, isSubmenuVisible, Cube.001
26.34735000, D_Obj, isSubmenuVisible, DoorWay
26.38907000, D_Obj, isSubmenuVisible, Cube
26.52318000, D_Obj, isSubmenuInvisible, Cube.002
27.23569000, D_Obj, isSubmenuVisible, Cube.002
27.45984000, D_Obj, isSubmenuInvisible, submenu_Nature
27.66510000, D_Obj, isSubmenuInvisible, Cube.002
27.67664000, D_Obj, isSubmenuVisible, Cube.002
29.01801000, D_Obj, isSubmenuVisible, topLevelMenu
29.14691000, D_Obj, isSubmenuInvisible, Cube.002
29.39225000, D_Obj, isSubmenuVisible, Cube.002
29.99651000, D_Obj, isSubmenuInvisible, topLevelMenu
29.99651000, D_Obj, isSubmenuVisible, submenu_Person
30.55836000, D_Obj, isSubmenuInvisible, Cube.001
30.68139000, D_Obj, isSubmenuInvisible, Cube
30.78159000, D_Obj, isSubmenuInvisible, DoorWay
31.59874000, D_Obj, isSubmenuInvisible, submenu_Person
33.05194000, D_Obj, isSubmenuVisible, submenu_Person
33.08241000, D_Obj, isSubmenuVisible, Cube.001
33.12710000, D_Obj, isSubmenuVisible, DoorWay
33.15050000, D_Obj, isSubmenuVisible, Cube
33.27320000, D_Obj, isSubmenuInvisible, Cube.002
33.98969000, D_Obj, isSubmenuVisible, Cube.002
34.82616000, D_Obj, isSubmenuInvisible, submenu_Person
35.29527000, D_Obj, isSubmenuInvisible, Cube.002
35.40785000, D_Obj, isSubmenuVisible, topLevelMenu
36.47316000, D_Obj, isSubmenuInvisible, topLevelMenu
36.47316000, D_Obj, isSubmenuVisible, submenu_Symbol
37.21679000, D_Obj, isSubmenuInvisible, Cube.001
37.48494000, D_Obj, isSubmenuVisible, Cube.002
37.98835000, D_Obj, isSubmenuVisible, Cube.001
38.26457000, D_Obj, isSubmenuInvisible, Cube
38.32090000, D_Obj, isSubmenuInvisible, DoorWay
38.42131000, D_Obj, isSubmenuInvisible, Cube.001
38.49991000, D_Obj, isSubmenuInvisible, submenu_Symbol
39.59670000, D_Obj, isSubmenuVisible, Cube.001
39.59670000, D_Obj, isSubmenuVisible, submenu_Symbol
39.63854000, D_Obj, isSubmenuVisible, DoorWay
39.66175000, D_Obj, isSubmenuVisible, Cube
39.71806000, D_Obj, isSubmenuInvisible, Cube.002
39.85108000, D_Obj, isSubmenuInvisible, Cube.001
39.99486000, D_Obj, isSubmenuInvisible, DoorWay
40.53450000, D_Obj, isSubmenuVisible, DoorWay
40.63339000, D_Obj, isSubmenuInvisible, submenu_Symbol
41.42817000, D_Obj, isSubmenuVisible, topLevelMenu
41.46752000, D_Obj, isSubmenuInvisible, DoorWay
42.00113000, D_Obj, isSubmenuInvisible, Cube
42.00113000, D_Obj, isSubmenuInvisible, topLevelMenu
42.00113000, D_Obj, isSubmenuVisible, submenu_Animals
